iter	Passed	Remaining
408	3995	5773
409	4005	5763
410	4012	5750
411	4021	5740
412	4029	5727
413	4038	5716
414	4046	5704
415	4055	5693
416	4065	5683
417	4076	5676
418	4086	5666
419	4096	5656
420	4107	5648
421	4120	5643
422	4134	5639
423	4142	5628
424	4153	5619
425	4162	5608
426	4170	5596
427	4179	5585
428	4187	5573
429	4199	5566
430	4208	5555
431	4218	5546
432	4226	5534
433	4234	5522
434	4242	5510
435	4251	5499
436	4259	5488
437	4267	5475
438	4277	5466
439	4286	5455
440	4298	5448
441	4309	5440
442	4318	5430
443	4329	5422
444	4340	5412
445	4353	5407
446	4364	5399
447	4375	5390
448	4386	5382
449	4399	5376
450	4409	5367
451	4420	5359
452	4430	5350
453	4440	5340
454	4450	5331
455	4461	5322
456	4470	5311
457	4480	5301
458	4489	5291
459	4499	5281
460	4510	5273
461	4518	5262
462	4528	5252
463	4537	5241
464	4545	5229
465	4553	5218
466	4561	5205
467	4570	5195
468	4580	5185
469	4589	5175
470	4598	5164
471	4608	5155
472	4617	5144
473	4627	5134
474	4636	5124
475	4647	5115
476	4656	5105
477	4666	5095
478	4675	5085
479	4684	5074
480	4693	5064
481	4703	5054
482	4714	5045
483	4723	5036
484	4733	5025
485	4740	5014
486	4748	5002
487	4756	4990
488	4764	4978
489	4771	4966
490	4779	4954
491	4787	4943
492	4795	4931
493	4803	4920
494	4811	4909
495	4820	4898
496	4828	4886
497	4836	4875
498	4844	4863
499	4852	4852
500	4860	4840
501	4867	4828
502	4875	4816
503	4882	4805
504	4891	4794
505	4903	4786
506	4917	4781
507	4929	4774
508	4941	4766
509	4955	4760
510	4968	4754
511	4978	4745
512	4988	4735
513	4998	4726
514	5009	4717
515	5019	4708
516	5031	4700
517	5043	4693
518	5053	4683
519	5062	4673
520	5071	4662
521	5080	4652
522	5088	4641
523	5097	4630
524	5106	4620
525	5115	4609
526	5124	4599
527	5134	4589
528	5142	4578
529	5151	4568
530	5160	4558
531	5169	4547
532	5178	4537
533	5187	4526
534	5196	4516
535	5205	4506
536	5214	4496
537	5223	4485
538	5232	4475
539	5240	4463
540	5247	4452
541	5255	4440
542	5262	4429
543	5270	4417
544	5278	4406
545	5285	4395
546	5293	4383
547	5300	4372
548	5308	4360
549	5316	4349
550	5323	4338
551	5331	4327
552	5339	4316
553	5347	4305
554	5355	4293
555	5362	4282
556	5370	4270
557	5377	4259
558	5384	4248
559	5392	4236
560	5400	4226
561	5408	4215
562	5416	4204
563	5425	4193
564	5435	4184
565	5444	4174
566	5452	4164
567	5461	4153
568	5469	4142
569	5478	4133
570	5487	4122
571	5495	4112
572	5504	4101
573	5512	4091
574	5521	4080
575	5530	4071
576	5543	4064
577	5555	4055
578	5564	4046
579	5576	4037
580	5585	4028
581	5595	4019
582	5606	4009
583	5616	4001
584	5629	3993
585	5640	3985
586	5651	3976
587	5662	3967
588	5674	3959
589	5684	3950
590	5694	3940
591	5703	3930
592	5710	3919
593	5719	3909
594	5728	3899
595	5739	3890
596	5748	3880
597	5757	3870
598	5767	3860
599	5777	3851
600	5787	3841
601	5795	3831
602	5806	3822
603	5815	3812
604	5824	3802
605	5836	3794
606	5845	3784
607	5855	3775
608	5864	3765
609	5927	3789
610	5938	3780
611	5957	3777
612	5968	3768
613	5978	3758
614	5987	3748
615	5997	3738
616	6007	3729
617	6017	3719
618	6026	3709
619	6039	3701
620	6052	3693
621	6064	3685
622	6074	3676
623	6085	3666
624	6094	3656
625	6102	3645
626	6111	3635
627	6121	3625
628	6131	3616
629	6139	3606
630	6150	3596
631	6159	3586
632	6169	3576
633	6177	3566
634	6187	3556
635	6196	3546
636	6205	3536
637	6216	3526
638	6224	3516
639	6234	3506
640	6244	3497
641	6253	3487
642	6263	3477
643	6271	3467
644	6284	3458
645	6293	3448
646	6302	3438
647	6312	3429
648	6320	3418
649	6331	3409
650	6339	3398
651	6348	3388
652	6357	3378
653	6367	3368
654	6377	3359
655	6387	3349
656	6397	3339
657	6406	3330
658	6416	3320
659	6428	3311
660	6438	3302
661	6447	3291
662	6456	3281
663	6465	3271
664	6477	3262
665	6486	3253
666	6497	3243
667	6508	3234
668	6518	3224
669	6530	3216
670	6543	3208
671	6553	3198
672	6563	3189
673	6572	3178
674	6580	3168
675	6589	3158
676	6597	3147
677	6606	3137
678	6615	3127
679	6624	3117
680	6634	3107
681	6643	3097
682	6653	3088
683	6661	3077
684	6671	3068
685	6680	3057
686	6691	3048
687	6700	3038
688	6709	3028
689	6719	3018
690	6727	3008
691	6738	2999
692	6746	2988
693	6755	2978
694	6764	2968
695	6773	2958
696	6785	2949
697	6793	2939
698	6803	2929
699	6812	2919
700	6822	2910
701	6831	2900
702	6840	2889
703	6849	2879
704	6858	2869
705	6867	2860
706	6877	2850
707	6888	2841
708	6899	2831
709	6907	2821
710	6918	2812
711	6928	2802
712	6937	2792
713	6947	2782
714	6956	2772
715	6966	2763
716	6974	2752
717	6984	2743
718	6995	2733
719	7005	2724
720	7017	2715
721	7027	2705
722	7038	2696
723	7050	2687
724	7059	2677
725	7069	2668
726	7079	2658
727	7088	2648
728	7097	2638
729	7105	2627
730	7115	2618
731	7124	2608
732	7133	2598
733	7142	2588
734	7151	2578
735	7161	2568
736	7169	2558
737	7180	2549
738	7189	2539
739	7198	2529
740	7207	2519
741	7217	2509
742	7226	2499
743	7235	2489
744	7244	2479
745	7252	2469
746	7263	2459
747	7271	2449
748	7280	2439
749	7289	2429
750	7298	2419
751	7308	2410
752	7317	2400
753	7327	2390
754	7335	2380
755	7345	2370
756	7354	2360
757	7362	2350
758	7372	2341
759	7381	2330
760	7391	2321
761	7402	2311
762	7410	2301
763	7421	2292
764	7430	2282
765	7440	2272
766	7448	2262
767	7457	2252
768	7466	2242
769	7477	2233
770	7488	2224
771	7498	2214
772	7509	2205
773	7518	2195
774	7528	2185
775	7540	2176
776	7550	2166
777	7559	2157
778	7570	2147
779	7579	2137
780	7589	2128
781	7598	2118
782	7606	2108
783	7614	2097
784	7624	2088
785	7633	2078
786	7643	2068
787	7654	2059
788	7664	2049
789	7673	2039
790	7682	2029
791	7691	2019
792	7700	2010
793	7709	2000
794	7719	1990
795	7728	1980
796	7737	1970
797	7747	1961
798	7756	1951
799	7767	1941
800	7774	1931
801	7785	1921
802	7793	1911
803	7802	1902
804	7810	1892
805	7821	1882
806	7831	1872
807	7840	1863
808	7850	1853
809	7859	1843
810	7868	1833
811	7876	1823
812	7886	1813
813	7895	1804
814	7913	1796
815	7923	1786
816	7932	1776
817	7941	1767
818	7951	1757
819	7961	1747
820	7970	1737
821	7981	1728
822	7990	1718
823	8000	1708
824	8010	1699
825	8022	1689
826	8032	1680
827	8042	1670
828	8054	1661
829	8065	1652
830	8077	1642
831	8089	1633
832	8099	1623
833	8110	1614
834	8121	1604
835	8132	1595
836	8144	1586
837	8163	1578
838	8177	1569
839	8191	1560
840	8203	1550
841	8213	1541
842	8225	1531
843	8236	1522
844	8247	1512
845	8260	1503
846	8273	1494
847	8285	1485
848	8296	1475
849	8307	1466
850	8318	1456
851	8328	1446
852	8340	1437
853	8351	1427
854	8361	1418
855	8372	1408
856	8383	1398
857	8393	1389
858	8404	1379
859	8415	1369
860	8427	1360
861	8438	1350
862	8449	1341
863	8459	1331
864	8470	1321
865	8480	1312
866	8490	1302
867	8500	1292
868	8511	1283
869	8523	1273
870	8534	1263
871	8545	1254
872	8556	1244
873	8567	1235
874	8578	1225
875	8589	1215
876	8603	1206
877	8614	1197
878	8625	1187
879	8637	1177
880	8649	1168
881	8661	1158
882	8675	1149
883	8688	1140
884	8700	1130
885	8711	1120
886	8723	1111
887	8736	1101
888	8747	1092
889	8758	1082
890	8770	1072
891	8782	1063
892	8795	1053
893	8807	1044
894	8820	1034
895	8834	1025
896	8847	1015
897	8861	1006
898	8873	996
899	8886	987
900	8900	977
901	8913	968
902	8927	959
903	8940	949
904	8953	939
905	8965	930
906	8976	920
907	8986	910
908	8997	900
909	9007	890
910	9018	881
911	9028	871
912	9039	861
913	9049	851
914	9060	841
915	9072	832
916	9083	822
917	9094	812
918	9105	802
919	9116	792
920	9126	782
921	9137	773
922	9148	763
923	9159	753
924	9169	743
925	9179	733
926	9190	723
927	9200	713
928	9210	703
929	9221	694
930	9231	684
931	9241	674
932	9253	664
933	9263	654
934	9273	644
935	9284	634
936	9294	624
937	9304	615
938	9314	605
939	9324	595
940	9334	585
941	9343	575
942	9354	565
943	9364	555
944	9373	545
945	9383	535
946	9393	525
947	9402	515
948	9412	505
949	9422	495
950	9432	485
951	9441	476
952	9451	466
953	9461	456
954	9471	446
955	9482	436
956	9492	426
957	9502	416
958	9512	406
959	9522	396
960	9532	386
961	9541	376
962	9551	366
963	9561	357
964	9572	347
965	9582	337
966	9592	327
967	9602	317
968	9612	307
969	9621	297
970	9631	287
971	9641	277
972	9651	267
973	9662	257
974	9673	248
975	9685	238
976	9695	228
977	9706	218
978	9717	208
979	9727	198
980	9738	188
981	9750	178
982	9763	168
983	9775	158
984	9787	149
985	9799	139
986	9811	129
987	9822	119
988	9833	109
989	9843	99
990	9854	89
991	9864	79
992	9875	69
993	9886	59
994	9898	49
995	9909	39
996	9919	29
997	9929	19
998	9939	9
999	9949	0
